36779,36778,1,19
36778,36786,20,39
36786,36780,40,49
36780,36781,50,119
36781,95520,120,200
168833,168834,1,19
168834,168835,20,39
168835,168836,40,49
168836,168837,50,119
168837,168838,120,200
202726,290619,1,2
290619,202727,2,19
202727,202728,20,39
202728,202729,40,49
202729,202730,50,119
202730,202731,120,200
151672,151673,1,19
151673,151674,20,39
151674,151675,40,49
151675,151676,50,119
151676,151677,120,200
151694,151695,1,19
151695,151696,20,39
151696,151697,40,80
151697,151698,80,119
151698,151699,120,200
202733,202734,1,19
202734,202735,20,39
202735,202736,40,80
202736,202737,80,119
202737,202738,120,200
36783,36782,1,19
36782,36777,20,39
36777,36785,40,80
36785,36784,80,119
36784,36787,120,199
36787,36787,200,200
95512,95513,40,200
88373,88374,5,200
88375,88376,15,200
43712,144745,1,99
144745,43713,100,500
211352,211353,1,99
211353,211354,100,500
211357,211358,1,500
211363,211364,1,500	
211349,211350,1,99
211350,211351,100,500
211359,211360,1,500
211365,211366,1,500
70292,70293,1,500
211401,211402,1,500
211403,211404,1,500
160707,160708,1,200
152267,152784,1,100
152786,152786,150,150
83920,83919,1,200
152029,152028,1,200
25820,25821,1,199
25821,160278,200,399
160278,160278,400,400
25812,25811,1,199
25811,160277,200,399
160277,160277,400,400
23314,23316,1,200
23316,160276,200,399
160276,160276,400,400
85366,85367,1,200
85367,160295,200,399
160295,160295,400,400
84146,84145,1,200
292256,292256,1,1
